State,State Code,Insurance Company
Alabama,AL,Preferred One
Alabama,AL,Presbyterian Health Plan 
Alabama,AL,Prime Health
Alabama,AL,Priority Health
Alabama,AL,PROVIDENCE HEALTH
Alabama,AL,Provider Network of America
Alabama,AL,QualChoice
Alabama,AL,Quartz
Alabama,AL,Reserve National Insurance Company
Alabama,AL,ResourceOne Administrators
Alabama,AL,S & S Health
Alabama,AL,Samaritan
Alabama,AL,Sana Benefits
Alabama,AL,Sanford Health Plan
Alabama,AL,Scott & White Health Plan
Alabama,AL,SEASIDE HLTH
Alabama,AL,Sedgwick
Alabama,AL,Select Administrative Services
Alabama,AL,Self Insured Services Company
Alabama,AL,Sentara Health Plans
Alabama,AL,Sentry Insurance
Alabama,AL,Sentry Insurance
Alabama,AL,SIHO
Alabama,AL,Simpra Advantage
Alabama,AL,SIX DEGREES HEALTH
Alabama,AL,SmartHealth
Alabama,AL,SMS National
Alabama,AL,Sound Health and Wellness
Alabama,AL,Sound Health and Wellness
Alabama,AL,South Central Preferred
Alabama,AL,Starmark
Alabama,AL,Surest
Alabama,AL,Surest Health Plan
Alabama,AL,The American Worker
Alabama,AL,The American Worker
Alabama,AL,The Empire Plan
Alabama,AL,The Health Plan
Alabama,AL,Tricare
Alabama,AL,TriCare – East Region
Alabama,AL,Tricare East
Alabama,AL,Tricare Overseas
Alabama,AL,Trilogy
Alabama,AL,TRPN
Alabama,AL,Trustmark
Alabama,AL,Tufts Health Plan
Alabama,AL,Ucare
Alabama,AL,UHC ALL SAVERS
Alabama,AL,UHC SHARED SERVICES
Alabama,AL,UHC STUDENT RESOURCES
Alabama,AL,UHC SUREST
Alabama,AL,UHIS
Alabama,AL,UMR
Alabama,AL,UMWA Health & Retirement Funds
Alabama,AL,Unicare
Alabama,AL,United
Alabama,AL,United Healthcare
Alabama,AL,United Healthcare All Savers
Alabama,AL,United Healthcare Medicaid
Alabama,AL,United Healthcare Shared Services
Alabama,AL,United Healthcare StudentResources
Alabama,AL,United Student Resources
Alabama,AL,UPMC
Alabama,AL,US Family Health Plan
Alabama,AL,USA MANAGED CARE ORGANIZATIONS
Alabama,AL,Valenz
Alabama,AL,Valenz
Alabama,AL,VIVA Health
Alabama,AL,WebTPA
Alabama,AL,Wellcare
Alabama,AL,WellCare of Alabama
Alabama,AL,WellFirst Health
Alabama,AL,WellMed
Alabama,AL,World Trade Center
Alabama,AL,Zelis
Alabama,AL,ZENITH ADMIN
Arizona,AZ, Aetna Better Health
Arizona,AZ,A&S Financial
Arizona,AZ,Access Health Services - TPA
Arizona,AZ,Aetna
Arizona,AZ,Aetna Atlantic Health
Arizona,AZ,Aetna National
Arizona,AZ,Affinity
Arizona,AZ,All Savers Health Plans
Arizona,AZ,Allegiance
Arizona,AZ,Alliance Health
Arizona,AZ,Alliant Health
Arizona,AZ,Allied Health Benefits
Arizona,AZ,AllWays Health Partners
Arizona,AZ,Allwell Arizona Complete Health
Arizona,AZ,Alternative Insurance Resources
Arizona,AZ,Ambetter 
Arizona,AZ,Ambetter Arizona Complete Health
Arizona,AZ,AmBetter Commercial
Arizona,AZ,AmeriBen
Arizona,AZ,America's Choice Provider Network
Arizona,AZ,American Healthcare Alliance
Arizona,AZ,American PPO
Arizona,AZ,AmeriGroup
Arizona,AZ,AmeriHealth
Arizona,AZ,Ametros
Arizona,AZ,Ancillary Care Services
Arizona,AZ,Anthem BCBCS
Arizona,AZ,Anthem BCBS
Arizona,AZ,Anthem Blue Cross Blue Shield
Arizona,AZ,Anthem Medicaid
Arizona,AZ,Arcbest Corporation
Arizona,AZ,Arizona Blue Cross Blue Shield
Arizona,AZ,Arizona Complete Health
Arizona,AZ,Arizona Complete Health - Medicaid
Arizona,AZ,Arizona Foundation for Medical Care
Arizona,AZ,Arizona Physicians IPA
Arizona,AZ,ASURIS
Arizona,AZ,Atrio Health Plans
Arizona,AZ,Badger Care
Arizona,AZ,Banner Health
Arizona,AZ,Banner University Health Plans
Arizona,AZ,BCE Emergis
Arizona,AZ,Beacon Health
Arizona,AZ,Beech Street
Arizona,AZ,Benefit Assistance Corp
Arizona,AZ,Blue Benefit Administrators
Arizona,AZ,Blue Cross Blue Shield
Arizona,AZ,Bluegrass Family Health
Arizona,AZ,BMI Benefits LLC
Arizona,AZ,Boulder Admin
Arizona,AZ,Bridgeway Health Solutions
Arizona,AZ,Bright Health
Arizona,AZ,Buckeye Community Health Plan
Arizona,AZ,Care First Arizona a Wellcare Company
Arizona,AZ,CareFirst BCBS
Arizona,AZ,Careington International
Arizona,AZ,Caresource
Arizona,AZ,CAREVALENT GILSBAR
Arizona,AZ,Cedar Valley Community Healthcare
Arizona,AZ,Cedar Valley Hospice - Transportation
Arizona,AZ,Cenpatico Integrated Care
Arizona,AZ,Century Health Solutions
Arizona,AZ,Cerner Health Plan
Arizona,AZ,CHAMP VA
Arizona,AZ,CHN Solutions
Arizona,AZ,Choice Care Network
Arizona,AZ,Cigna
Arizona,AZ,ClearPrice Networks
Arizona,AZ,Clover Health
Arizona,AZ,CMN Inc. Global
Arizona,AZ,Coastal Care Services
Arizona,AZ,Cofinity Health Benefits
Arizona,AZ,Common Ground Health Care
Arizona,AZ,Commonwealth Care Alliance
Arizona,AZ,Community Care
Arizona,AZ,Community Health Options
Arizona,AZ,Compass Rose Health Plan
Arizona,AZ,CompDME
Arizona,AZ,Connecticare
Arizona,AZ,CONSOCIATE CARE
Arizona,AZ,Continental Benefits
Arizona,AZ,Cook County Health Plan
Arizona,AZ,CoreSource
Arizona,AZ,Coventry Health Care
Arizona,AZ,CuraeChoice
Arizona,AZ,Delta Health Systems
Arizona,AZ,Deseret Mutual Benefit Administrators
Arizona,AZ,Eagle Health Plan
Arizona,AZ,EBMS
Arizona,AZ,EBPA
Arizona,AZ,Emblem Health
Arizona,AZ,Employers Health Network
Arizona,AZ,Exceedent
Arizona,AZ,Excellus BlueCross BlueShield
Arizona,AZ,Fidelis Care
Arizona,AZ,First Choice Health
Arizona,AZ,Friday Health Plan
Arizona,AZ,Galaxy Health Network
Arizona,AZ,Gateway Health
Arizona,AZ,GEHA
Arizona,AZ,Geisinger
Arizona,AZ,Gilsbar
Arizona,AZ,global excel management 
